TerritoryName,TerritoryInfo.TerritoryID,TerritoryInfo.TerritoryType,TerritoryInfo.Name,TerritoryInfo.Description,TerritoryInfo.ResourceType,TerritoryInfo.StrategicValue,TerritoryInfo.TacticalImportance,TerritoryInfo.WorldPosition,TerritoryInfo.ControlRadius,TerritoryInfo.ControlPointType,ConnectedTerritories,ParentTerritoryID,ChildTerritoryIDs
WastelandRegion,3001,Region,Wasteland Crossroads Region,"Massive wasteland with all seven factions competing for salvage and territory",Salvage,100,100,"(X=0,Y=0,Z=0)",800,CommandPost,"[3002,3003,3004,3005,3006,3007,3008]",0,"[3002,3003,3004,3005,3006,3007,3008]"
DirectorateOutpost,3002,District,Directorate Forward Base,"Corporate forward operating base with defensive perimeter",Military,75,80,"(X=-500,Y=-300,Z=0)",200,CommandPost,"[3001,3009,3010]",3001,"[3009,3010]"
Free77Camp,3003,District,Free77 Resistance Camp,"Large resistance encampment with improvised defenses",Military,70,85,"(X=400,Y=-400,Z=0)",200,CommandPost,"[3001,3011,3012]",3001,"[3011,3012]"
NomadClansTerritory,3004,District,Nomad Clans Wandering Territory,"Mobile nomadic territory with shifting boundaries",Strategic,65,90,"(X=300,Y=500,Z=0)",250,SupplyDepot,"[3001,3013,3014]",3001,"[3013,3014]"
CivicWardensRefuge,3005,District,Civic Wardens Safe Zone,"Civilian protection zone with neutral status",Cultural,80,70,"(X=-200,Y=400,Z=0)",180,CivilianShelter,"[3001,3015,3016]",3001,"[3015,3016]"
VulturesUnionScrapyard,3006,District,Vultures Union Salvage Yards,"Massive scrapyard with processing facilities",Salvage,85,75,"(X=-600,Y=200,Z=0)",220,SupplyDepot,"[3001,3017,3018]",3001,"[3017,3018]"
VaultedArchivistsVault,3007,District,Vaulted Archivists Deep Archive,"Fortified underground archive facility",Intelligence,90,65,"(X=600,Y=-100,Z=-100)",150,CommArray,"[3001,3019,3020]",3001,"[3019,3020]"
CorporateHegemonyZone,3008,District,Corporate Hegemony Industrial Zone,"Massive corporate industrial complex",Economic,95,70,"(X=100,Y=-600,Z=0)",300,Checkpoint,"[3001,3021,3022]",3001,"[3021,3022]"
DirectorateBarricade,3009,ControlPoint,Perimeter Defense Line,"Fortified defensive position with automated turrets",Military,60,85,"(X=-650,Y=-200,Z=0)",75,Checkpoint,"[3002,3010]",3002,"[]"
DirectorateCommand,3010,ControlPoint,Field Command Center,"Mobile command center with communication arrays",Strategic,65,80,"(X=-400,Y=-350,Z=0)",60,CommArray,"[3002,3009]",3002,"[]"
Free77Bunker,3011,ControlPoint,Underground Bunker,"Fortified underground position with escape tunnels",Military,55,90,"(X=350,Y=-450,Z=-50)",80,CommandPost,"[3003,3012]",3003,"[]"
Free77Arsenal,3012,ControlPoint,Weapons Cache,"Hidden weapons depot with explosive materials",Military,60,75,"(X=450,Y=-350,Z=0)",70,SupplyDepot,"[3003,3011]",3003,"[]"
NomadTradingPost,3013,ControlPoint,Mobile Trading Hub,"Nomadic trading post with valuable resources",Economic,70,60,"(X=250,Y=550,Z=0)",90,SupplyDepot,"[3004,3014]",3004,"[]"
NomadScoutTower,3014,ControlPoint,Elevated Scout Position,"High vantage point for territorial monitoring",Strategic,50,95,"(X=350,Y=450,Z=100)",50,CommArray,"[3004,3013]",3004,"[]"
CivicEvacPoint,3015,ControlPoint,Emergency Evacuation Point,"Civilian evacuation facility with medical support",Cultural,75,65,"(X=-150,Y=450,Z=0)",100,CivilianShelter,"[3005,3016]",3005,"[]"
CivicMedStation,3016,ControlPoint,Medical Treatment Station,"Field hospital for civilian casualties",Cultural,70,70,"(X=-250,Y=350,Z=0)",85,CivilianShelter,"[3005,3015]",3005,"[]"
VulturesSmelter,3017,ControlPoint,Scrap Processing Facility,"Industrial smelting facility for salvaged materials",Salvage,80,65,"(X=-700,Y=150,Z=0)",110,SupplyDepot,"[3006,3018]",3006,"[]"
VulturesDepot,3018,ControlPoint,Salvage Storage Depot,"Massive storage facility for processed materials",Salvage,75,60,"(X=-500,Y=250,Z=0)",120,SupplyDepot,"[3006,3017]",3006,"[]"
ArchivistsLibrary,3019,ControlPoint,Mobile Archive Unit,"Armored mobile library with data processing",Intelligence,85,55,"(X=650,Y=-50,Z=0)",70,CommArray,"[3007,3020]",3007,"[]"
ArchivistsLab,3020,ControlPoint,Research Laboratory,"Advanced research facility for data analysis",Technology,90,60,"(X=550,Y=-150,Z=-50)",80,CommArray,"[3007,3019]",3007,"[]"
CorporateFactory,3021,ControlPoint,Manufacturing Complex,"Automated manufacturing facility",Economic,100,65,"(X=50,Y=-700,Z=0)",150,SupplyDepot,"[3008,3022]",3008,"[]"
CorporateReactor,3022,ControlPoint,Power Generation Station,"Central power plant for corporate operations",Technology,95,70,"(X=150,Y=-500,Z=0)",100,CommArray,"[3008,3021]",3008,"[]"